X,Y,L_m_Upstream,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,7
313494.94766718,3513079.75942367,56645.9783106966,4
334944.94766718,3530449.75942367,126111.06483833,103
332214.94766718,3521269.75942367,118894.67740078,102
335844.94766718,3492949.75942367,108260.056198321,19
326214.94766718,3489979.75942367,73144.6406361014,12
332304.94766718,3531529.75942367,129414.079990231,98
324654.94766718,3531649.75942367,133785.400333792,97
315624.94766718,3483709.75942367,71864.0518910709,11
329004.94766718,3524839.75942367,126833.714190967,99
330234.94766718,3523069.75942367,124631.805102377,100
339174.94766718,3494959.75942367,93010.5821821197,18
327834.94766718,3499639.75942367,75676.1839254269,14
371454.94766718,3532309.75942367,166756.623254055,86
329124.94766718,3519949.75942367,103295.131957829,105
332484.94766718,3493459.75942367,97152.1968981946,16
329634.94766718,3494719.75942367,81265.960979661,15
365034.94766718,3472459.75942367,139383.857044467,28
432144.94766718,3437659.75942367,250635.965184898,50
310434.94766718,3530479.75942367,47615.915549465,1
409584.94766718,3474439.75942367,202483.582105606,69
407334.94766718,3486829.75942367,186896.463069524,80
428694.94766718,3440719.75942367,244595.456532134,49
414324.94766718,3461659.75942367,214583.421921075,68
301284.94766718,3487549.75942367,81987.4241767194,9
334854.94766718,3490669.75942367,111538.067017464,21
403704.94766718,3477919.75942367,185547.346187069,75
346884.94766718,3524779.75942367,116009.164415257,104
345354.94766718,3477949.75942367,130375.480426058,22
405684.94766718,3477679.75942367,187574.036662653,74
309894.94766718,3471679.75942367,91567.049711937,10
403374.94766718,3485059.75942367,181839.04099541,81
406434.94766718,3476179.75942367,193056.971722288,70
358884.94766718,3463429.75942367,150321.127599564,26
403554.94766718,3480529.75942367,181005.954416759,77
358074.94766718,3466279.75942367,148294.437123981,25
305844.94766718,3493759.75942367,78759.1189850614,8
422604.94766718,3434239.75942367,252991.772542936,47
350184.94766718,3552919.75942367,156888.541008161,89
437124.94766718,3432949.75942367,262940.809333125,52
336024.94766718,3494479.75942367,92159.9220103399,17
400614.94766718,3487789.75942367,173291.841867062,82
323214.94766718,3493609.75942367,67429.7163956096,13
356184.94766718,3549229.75942367,161900.521523501,88
427314.94766718,3441319.75942367,243328.17731152,48
464334.94766718,3442609.75942367,289135.930522824,56
406494.94766718,3474979.75942367,192013.885143637,71
436884.94766718,3429799.75942367,266672.718421714,53
409824.94766718,3436819.75942367,245224.939213853,45
433494.94766718,3438829.75942367,250770.523626126,51
311844.94766718,3511219.75942367,55307.5216000221,3
443724.94766718,3435079.75942367,262467.205436193,54
415824.94766718,3439309.75942367,239996.562595444,46
404544.94766718,3476239.75942367,187938.300731365,73
345204.94766718,3472219.75942367,150138.995565209,23
460824.94766718,3441109.75942367,284090.051738038,57
428334.94766718,3452689.75942367,240212.592899248,65
373944.94766718,3473089.75942367,148174.437123981,34
332634.94766718,3540709.75942367,142712.305089624,95
402384.94766718,3477919.75942367,180596.248789274,76
402804.94766718,3481219.75942367,180318.086451115,78
309204.94766718,3513319.75942367,36937.8333035729,2
337524.94766718,3493009.75942367,105285.426330344,20
458634.94766718,3439819.75942367,281223.878580736,58
401514.94766718,3492679.75942367,178182.573465593,84
390954.94766718,3499279.75942367,172786.105935775,85
377844.94766718,3471619.75942367,157142.885169139,37
422724.94766718,3460699.75942367,228337.160005991,66
333384.94766718,3538729.75942367,140313.188207169,96
354924.94766718,3469729.75942367,138646.283451338,24
376104.94766718,3472999.75942367,151047.523702632,35
437964.94766718,3444289.75942367,254170.30068036,63
443544.94766718,3440779.75942367,263352.646994966,60
330594.94766718,3544789.75942367,151643.473914169,94
320694.94766718,3557749.75942367,175786.989053319,91
329964.94766718,3576499.75942367,185773.305064122,90
461664.94766718,3440389.75942367,284954.90455178,55
406884.94766718,3488269.75942367,182168.675196145,83
437844.94766718,3445639.75942367,255436.696783428,62
437394.94766718,3445789.75942367,255591.843969686,61
369924.94766718,3470419.75942367,152198.549673677,31
